,Year,quarter,miles_distance,daily_passengers,average_fare,DEP,ARR,ROUTE
101,2012,2,404,1554,154.71,ATL,MCO,ATLMCO
102,2012,3,404,1365,142.11,ATL,MCO,ATLMCO
103,2012,4,404,1622,147.71,ATL,MCO,ATLMCO
104,2013,1,404,1687,157.68,ATL,MCO,ATLMCO
105,2011,3,666,2066,174.92,ATL,PHL,ATLPHL
106,2011,4,666,1876,191.17,ATL,PHL,ATLPHL
107,2012,1,666,1564,209.58,ATL,PHL,ATLPHL
108,2012,2,666,2014,182.78,ATL,PHL,ATLPHL
109,2012,3,666,1959,170.34,ATL,PHL,ATLPHL
110,2012,4,666,1838,186.63,ATL,PHL,ATLPHL
111,2013,1,666,1471,206.53,ATL,PHL,ATLPHL
112,2011,3,1587,863,190.23,ATL,PHX,ATLPHX
113,2011,4,1587,973,215.89,ATL,PHX,ATLPHX
114,2012,1,1587,935,221.41,ATL,PHX,ATLPHX
115,2012,2,1587,1055,205.58,ATL,PHX,ATLPHX
116,2012,3,1587,842,193.78,ATL,PHX,ATLPHX
117,2012,4,1587,1025,216.89,ATL,PHX,ATLPHX
118,2013,1,1587,901,235.26,ATL,PHX,ATLPHX
119,2011,3,2139,1677,275.6,ATL,SFO,ATLSFO
120,2011,4,2139,1581,286.55,ATL,SFO,ATLSFO
121,2012,1,2139,1313,289.93,ATL,SFO,ATLSFO
122,2012,2,2139,1674,301.21,ATL,SFO,ATLSFO
123,2012,3,2139,1767,276.76,ATL,SFO,ATLSFO
124,2012,4,2139,1831,271.31,ATL,SFO,ATLSFO
125,2013,1,2139,1427,295.07,ATL,SFO,ATLSFO
126,2011,3,2182,1136,261.18,ATL,SEA,ATLSEA
127,2011,4,2182,804,282.92,ATL,SEA,ATLSEA
128,2012,1,2182,626,310.19,ATL,SEA,ATLSEA
129,2012,2,2182,1030,276.3,ATL,SEA,ATLSEA
130,2012,3,2182,1169,273.22,ATL,SEA,ATLSEA
131,2012,4,2182,846,291.29,ATL,SEA,ATLSEA
132,2013,1,2182,701,294.75,ATL,SEA,ATLSEA
133,2011,3,737,1701,146.93,BOS,CLT,BOSCLT
134,2011,4,737,1538,150.42,BOS,CLT,BOSCLT
135,2012,1,737,1141,151.39,BOS,CLT,BOSCLT
136,2012,2,737,1703,167.08,BOS,CLT,BOSCLT
137,2012,3,737,1707,159.3,BOS,CLT,BOSCLT
138,2012,4,737,1578,151.78,BOS,CLT,BOSCLT
139,2013,1,737,1301,144.84,BOS,CLT,BOSCLT
140,2011,3,867,4534,176.17,BOS,ORD,BOSORD
141,2011,4,867,4159,172.83,BOS,ORD,BOSORD
