,Year,quarter,miles_distance,daily_passengers,average_fare,DEP,ARR,ROUTE
442,2012,1,773,8117,171.04,ORD,EWR,ORDEWR
443,2012,2,773,10572,196.45,ORD,JFK,ORDJFK
444,2012,2,773,10572,196.45,ORD,LGA,ORDLGA
445,2012,2,773,10572,196.45,ORD,EWR,ORDEWR
446,2012,3,773,10418,193.67,ORD,JFK,ORDJFK
447,2012,3,773,10418,193.67,ORD,LGA,ORDLGA
448,2012,3,773,10418,193.67,ORD,EWR,ORDEWR
449,2012,4,773,9643,199.93,ORD,JFK,ORDJFK
450,2012,4,773,9643,199.93,ORD,LGA,ORDLGA
451,2012,4,773,9643,199.93,ORD,EWR,ORDEWR
452,2013,1,773,8084,194.72,ORD,JFK,ORDJFK
453,2013,1,773,8084,194.72,ORD,LGA,ORDLGA
454,2013,1,773,8084,194.72,ORD,EWR,ORDEWR
455,2011,3,1005,2770,159.18,ORD,MCO,ORDMCO
456,2011,4,1005,3228,170.82,ORD,MCO,ORDMCO
457,2012,1,1005,3592,172.45,ORD,MCO,ORDMCO
458,2012,2,1005,3939,161.66,ORD,MCO,ORDMCO
459,2012,3,1005,3191,144.83,ORD,MCO,ORDMCO
460,2012,4,1005,3418,168.01,ORD,MCO,ORDMCO
461,2013,1,1005,3457,186.41,ORD,MCO,ORDMCO
462,2011,3,678,2412,216.91,ORD,PHL,ORDPHL
463,2011,4,678,2371,203.46,ORD,PHL,ORDPHL
464,2012,1,678,1874,214.8,ORD,PHL,ORDPHL
465,2012,2,678,2532,226.08,ORD,PHL,ORDPHL
466,2012,3,678,2588,198.45,ORD,PHL,ORDPHL
467,2012,4,678,2530,199.71,ORD,PHL,ORDPHL
468,2013,1,678,1962,209.61,ORD,PHL,ORDPHL
469,2011,3,1444,2216,205.75,ORD,PHX,ORDPHX
470,2011,4,1444,2562,212.43,ORD,PHX,ORDPHX
471,2012,1,1444,2536,234.43,ORD,PHX,ORDPHX
472,2012,2,1444,2334,233.79,ORD,PHX,ORDPHX
473,2012,3,1444,1989,223.87,ORD,PHX,ORDPHX
474,2012,4,1444,2568,217.01,ORD,PHX,ORDPHX
475,2013,1,1444,2861,220.79,ORD,PHX,ORDPHX
476,2011,3,1855,4548,250.61,ORD,SFO,ORDSFO
477,2011,4,1855,4068,228.1,ORD,SFO,ORDSFO
478,2012,1,1855,3391,216.75,ORD,SFO,ORDSFO
479,2012,2,1855,4179,268.99,ORD,SFO,ORDSFO
480,2012,3,1855,4347,275.59,ORD,SFO,ORDSFO
481,2012,4,1855,3893,279.56,ORD,SFO,ORDSFO
482,2013,1,1855,3150,266.38,ORD,SFO,ORDSFO
483,2011,3,1733,1941,260.53,ORD,SEA,ORDSEA
484,2011,4,1733,1515,220.99,ORD,SEA,ORDSEA
485,2012,1,1733,1151,226.06,ORD,SEA,ORDSEA
486,2012,2,1733,1695,257.2,ORD,SEA,ORDSEA
487,2012,3,1733,1907,266.94,ORD,SEA,ORDSEA
488,2012,4,1733,1547,253.85,ORD,SEA,ORDSEA
489,2013,1,1733,1155,243.23,ORD,SEA,ORDSEA
490,2011,3,651,2165,172.85,DFW,DEN,DFWDEN
491,2011,4,651,1918,196.18,DFW,DEN,DFWDEN
492,2012,1,651,1825,194.46,DFW,DEN,DFWDEN
493,2012,2,651,1998,176.42,DFW,DEN,DFWDEN
494,2012,3,651,2212,154.44,DFW,DEN,DFWDEN
495,2012,4,651,2129,149.81,DFW,DEN,DFWDEN
496,2013,1,651,2288,152.27,DFW,DEN,DFWDEN
497,2011,3,986,835,255.07,DFW,DTW,DFWDTW
498,2011,4,986,856,258.64,DFW,DTW,DFWDTW
499,2012,1,986,721,283.41,DFW,DTW,DFWDTW
500,2012,2,986,812,295.52,DFW,DTW,DFWDTW
501,2012,3,986,1016,251.51,DFW,DTW,DFWDTW
502,2012,4,986,990,232.5,DFW,DTW,DFWDTW
503,2013,1,986,950,213.22,DFW,DTW,DFWDTW
504,2011,3,247,3150,156.04,DFW,IAH,DFWIAH
505,2011,4,247,3157,164.9,DFW,IAH,DFWIAH
506,2012,1,247,3333,153.27,DFW,IAH,DFWIAH
507,2012,2,247,3450,152.49,DFW,IAH,DFWIAH
508,2012,3,247,3051,155.98,DFW,IAH,DFWIAH
509,2012,4,247,3109,154.68,DFW,IAH,DFWIAH
510,2013,1,247,3147,157.66,DFW,IAH,DFWIAH
511,2011,3,1067,2516,163.56,DFW,LAS,DFWLAS
512,2011,4,1067,2273,180.95,DFW,LAS,DFWLAS
513,2012,1,1067,2190,188.48,DFW,LAS,DFWLAS
514,2012,2,1067,2132,199.76,DFW,LAS,DFWLAS
515,2012,3,1067,2071,182.86,DFW,LAS,DFWLAS
516,2012,4,1067,2140,180.52,DFW,LAS,DFWLAS
517,2013,1,1067,2099,193.15,DFW,LAS,DFWLAS
518,2011,3,1246,4408,207.79,DFW,LAX,DFWLAX
519,2011,4,1246,4503,206.72,DFW,LAX,DFWLAX
520,2012,1,1246,3887,205.52,DFW,LAX,DFWLAX
521,2012,2,1246,4243,239.14,DFW,LAX,DFWLAX
522,2012,3,1246,4198,225.24,DFW,LAX,DFWLAX
523,2012,4,1246,3963,230.1,DFW,LAX,DFWLAX
524,2013,1,1246,3590,241.83,DFW,LAX,DFWLAX
525,2011,3,1121,1571,175.48,DFW,MIA,DFWMIA
526,2011,4,1121,1641,189.21,DFW,MIA,DFWMIA
527,2012,1,1121,1559,217.93,DFW,MIA,DFWMIA
528,2012,2,1121,1587,228.41,DFW,MIA,DFWMIA
529,2012,3,1121,1481,191.67,DFW,MIA,DFWMIA
530,2012,4,1121,1486,207.51,DFW,MIA,DFWMIA
531,2013,1,1121,1524,226.65,DFW,MIA,DFWMIA
532,2011,3,853,1111,211.85,DFW,MSP,DFWMSP
533,2011,4,853,921,252.21,DFW,MSP,DFWMSP
534,2012,1,853,816,282.85,DFW,MSP,DFWMSP
535,2012,2,853,1033,262.92,DFW,MSP,DFWMSP
536,2012,3,853,1042,241.48,DFW,MSP,DFWMSP
537,2012,4,853,990,223.08,DFW,MSP,DFWMSP
538,2013,1,853,934,221.94,DFW,MSP,DFWMSP
539,2011,3,1428,3496,334.15,DFW,JFK,DFWJFK
540,2011,3,1428,3496,334.15,DFW,LGA,DFWLGA
541,2011,3,1428,3496,334.15,DFW,EWR,DFWEWR
542,2011,4,1428,3484,362.68,DFW,JFK,DFWJFK
543,2011,4,1428,3484,362.68,DFW,LGA,DFWLGA
544,2011,4,1428,3484,362.68,DFW,EWR,DFWEWR
545,2012,1,1428,2857,401.68,DFW,JFK,DFWJFK
546,2012,1,1428,2857,401.68,DFW,LGA,DFWLGA
547,2012,1,1428,2857,401.68,DFW,EWR,DFWEWR
548,2012,2,1428,3731,358.19,DFW,JFK,DFWJFK
549,2012,2,1428,3731,358.19,DFW,LGA,DFWLGA
550,2012,2,1428,3731,358.19,DFW,EWR,DFWEWR
551,2012,3,1428,3498,335.85,DFW,JFK,DFWJFK
552,2012,3,1428,3498,335.85,DFW,LGA,DFWLGA
553,2012,3,1428,3498,335.85,DFW,EWR,DFWEWR
554,2012,4,1428,3751,309.85,DFW,JFK,DFWJFK
555,2012,4,1428,3751,309.85,DFW,LGA,DFWLGA
556,2012,4,1428,3751,309.85,DFW,EWR,DFWEWR
557,2013,1,1428,3395,315.71,DFW,JFK,DFWJFK
558,2013,1,1428,3395,315.71,DFW,LGA,DFWLGA
559,2013,1,1428,3395,315.71,DFW,EWR,DFWEWR
560,2011,3,985,1718,171.14,DFW,MCO,DFWMCO
561,2011,4,985,1536,201.71,DFW,MCO,DFWMCO
562,2012,1,985,1455,228.78,DFW,MCO,DFWMCO
563,2012,2,985,1631,214.86,DFW,MCO,DFWMCO
564,2012,3,985,1382,201.51,DFW,MCO,DFWMCO
565,2012,4,985,1452,213.51,DFW,MCO,DFWMCO
566,2013,1,985,1552,215.98,DFW,MCO,DFWMCO
567,2011,3,1303,1154,252.41,DFW,PHL,DFWPHL
568,2011,4,1303,1163,268.04,DFW,PHL,DFWPHL
569,2012,1,1303,1014,280.74,DFW,PHL,DFWPHL
570,2012,2,1303,1194,283.28,DFW,PHL,DFWPHL
571,2012,3,1303,1183,256.41,DFW,PHL,DFWPHL
572,2012,4,1303,1264,237.84,DFW,PHL,DFWPHL
573,2013,1,1303,1078,268.18,DFW,PHL,DFWPHL
574,2011,3,879,1163,214.81,DFW,PHX,DFWPHX
575,2011,4,879,1390,221.09,DFW,PHX,DFWPHX
576,2012,1,879,1482,220.53,DFW,PHX,DFWPHX
577,2012,2,879,1435,205.66,DFW,PHX,DFWPHX
578,2012,3,879,1184,208.24,DFW,PHX,DFWPHX
579,2012,4,879,1451,213.99,DFW,PHX,DFWPHX
580,2013,1,879,1451,216.42,DFW,PHX,DFWPHX
581,2011,3,1476,2751,210.75,DFW,SFO,DFWSFO
582,2011,4,1476,2701,205.5,DFW,SFO,DFWSFO
583,2012,1,1476,2307,207.28,DFW,SFO,DFWSFO
584,2012,2,1476,2598,247.83,DFW,SFO,DFWSFO
585,2012,3,1476,2574,236.22,DFW,SFO,DFWSFO
586,2012,4,1476,2408,243.84,DFW,SFO,DFWSFO
587,2013,1,1476,2092,246.49,DFW,SFO,DFWSFO
588,2011,3,1670,1392,249.4,DFW,SEA,DFWSEA
589,2011,4,1670,1097,240.73,DFW,SEA,DFWSEA
590,2012,1,1670,916,250.03,DFW,SEA,DFWSEA
591,2012,2,1670,1221,260.99,DFW,SEA,DFWSEA
592,2012,3,1670,1359,260.93,DFW,SEA,DFWSEA
593,2012,4,1670,1082,249.84,DFW,SEA,DFWSEA
594,2013,1,1670,1028,242.32,DFW,SEA,DFWSEA
595,2011,3,1123,1123,183.15,DEN,DTW,DENDTW
596,2011,4,1123,943,197.55,DEN,DTW,DENDTW
597,2012,1,1123,747,187.7,DEN,DTW,DENDTW
598,2012,2,1123,889,194.53,DEN,DTW,DENDTW
599,2012,3,1123,1027,193.85,DEN,DTW,DENDTW
600,2012,4,1123,932,197.82,DEN,DTW,DENDTW
601,2013,1,1123,844,177.65,DEN,DTW,DENDTW
602,2011,3,883,2077,177.18,DEN,IAH,DENIAH
603,2011,4,883,1985,181.6,DEN,IAH,DENIAH
604,2012,1,883,1817,194.13,DEN,IAH,DENIAH
605,2012,2,883,1849,204.26,DEN,IAH,DENIAH
606,2012,3,883,1951,215.06,DEN,IAH,DENIAH
607,2012,4,883,1859,214.82,DEN,IAH,DENIAH
608,2013,1,883,1991,216.53,DEN,IAH,DENIAH
609,2011,3,628,2458,121.42,DEN,LAS,DENLAS
610,2011,4,628,2362,130.42,DEN,LAS,DENLAS
611,2012,1,628,2364,137.04,DEN,LAS,DENLAS
612,2012,2,628,2402,134.37,DEN,LAS,DENLAS
613,2012,3,628,2286,123.86,DEN,LAS,DENLAS
614,2012,4,628,2378,125.45,DEN,LAS,DENLAS
615,2013,1,628,2587,128.67,DEN,LAS,DENLAS
616,2011,3,862,4774,158.71,DEN,LAX,DENLAX
617,2011,4,862,4646,161.52,DEN,LAX,DENLAX
618,2012,1,862,4055,154.21,DEN,LAX,DENLAX
619,2012,2,862,4611,163.93,DEN,LAX,DENLAX
620,2012,3,862,4718,165.58,DEN,LAX,DENLAX
621,2012,4,862,4379,172.05,DEN,LAX,DENLAX
622,2013,1,862,4034,169.86,DEN,LAX,DENLAX
623,2011,3,1709,909,208.62,DEN,MIA,DENMIA
624,2011,4,1709,1130,222.61,DEN,MIA,DENMIA
625,2012,1,1709,1332,220.38,DEN,MIA,DENMIA
626,2012,2,1709,1148,204.76,DEN,MIA,DENMIA
627,2012,3,1709,972,189.46,DEN,MIA,DENMIA
628,2012,4,1709,1279,203.88,DEN,MIA,DENMIA
629,2013,1,1709,1480,216.61,DEN,MIA,DENMIA
630,2011,3,680,2114,138.75,DEN,MSP,DENMSP
631,2011,4,680,1778,148.73,DEN,MSP,DENMSP
632,2012,1,680,1467,141.84,DEN,MSP,DENMSP
633,2012,2,680,1825,143.49,DEN,MSP,DENMSP
634,2012,3,680,2105,143.71,DEN,MSP,DENMSP
635,2012,4,680,1756,139.6,DEN,MSP,DENMSP
636,2013,1,680,1673,139.18,DEN,MSP,DENMSP
637,2011,3,1659,3267,256.25,DEN,JFK,DENJFK
638,2011,3,1659,3267,256.25,DEN,LGA,DENLGA
639,2011,3,1659,3267,256.25,DEN,EWR,DENEWR
640,2011,4,1659,2851,234.97,DEN,JFK,DENJFK
641,2011,4,1659,2851,234.97,DEN,LGA,DENLGA
642,2011,4,1659,2851,234.97,DEN,EWR,DENEWR
643,2012,1,1659,2514,219.56,DEN,JFK,DENJFK
644,2012,1,1659,2514,219.56,DEN,LGA,DENLGA
645,2012,1,1659,2514,219.56,DEN,EWR,DENEWR
646,2012,2,1659,3138,220.29,DEN,JFK,DENJFK
647,2012,2,1659,3138,220.29,DEN,LGA,DENLGA
648,2012,2,1659,3138,220.29,DEN,EWR,DENEWR
649,2012,3,1659,3690,210.77,DEN,JFK,DENJFK
650,2012,3,1659,3690,210.77,DEN,LGA,DENLGA
651,2012,3,1659,3690,210.77,DEN,EWR,DENEWR
652,2012,4,1659,3143,213.06,DEN,JFK,DENJFK
653,2012,4,1659,3143,213.06,DEN,LGA,DENLGA
654,2012,4,1659,3143,213.06,DEN,EWR,DENEWR
655,2013,1,1659,3059,211.38,DEN,JFK,DENJFK
656,2013,1,1659,3059,211.38,DEN,LGA,DENLGA
657,2013,1,1659,3059,211.38,DEN,EWR,DENEWR
658,2011,3,1546,1020,205.83,DEN,MCO,DENMCO
659,2011,4,1546,1202,214.75,DEN,MCO,DENMCO
660,2012,1,1546,1285,221.22,DEN,MCO,DENMCO
661,2012,2,1546,1226,222.07,DEN,MCO,DENMCO
662,2012,3,1546,1063,196.35,DEN,MCO,DENMCO
663,2012,4,1546,1384,201.23,DEN,MCO,DENMCO
664,2013,1,1546,1446,215.72,DEN,MCO,DENMCO
665,2011,3,1558,1213,238.07,DEN,PHL,DENPHL
666,2011,4,1558,1048,215.43,DEN,PHL,DENPHL
667,2012,1,1558,864,218.11,DEN,PHL,DENPHL
668,2012,2,1558,1036,234.04,DEN,PHL,DENPHL
669,2012,3,1558,1236,221.06,DEN,PHL,DENPHL
670,2012,4,1558,1078,209.31,DEN,PHL,DENPHL
671,2013,1,1558,919,227.4,DEN,PHL,DENPHL
672,2011,3,602,2415,118.34,DEN,PHX,DENPHX
673,2011,4,602,2833,132.55,DEN,PHX,DENPHX
674,2012,1,602,3002,137.49,DEN,PHX,DENPHX
675,2012,2,602,2442,145.74,DEN,PHX,DENPHX
676,2012,3,602,2024,143.37,DEN,PHX,DENPHX
677,2012,4,602,2520,138.73,DEN,PHX,DENPHX
678,2013,1,602,3186,122.36,DEN,PHX,DENPHX
679,2011,3,967,3422,186.0,DEN,SFO,DENSFO
680,2011,4,967,3172,180.97,DEN,SFO,DENSFO
681,2012,1,967,2681,182.97,DEN,SFO,DENSFO
682,2012,2,967,3177,198.13,DEN,SFO,DENSFO
683,2012,3,967,3460,194.61,DEN,SFO,DENSFO
684,2012,4,967,3238,198.27,DEN,SFO,DENSFO
685,2013,1,967,2894,195.27,DEN,SFO,DENSFO
686,2011,3,1024,2191,179.31,DEN,SEA,DENSEA
687,2011,4,1024,1609,165.17,DEN,SEA,DENSEA
688,2012,1,1024,1304,160.34,DEN,SEA,DENSEA
689,2012,2,1024,1659,181.86,DEN,SEA,DENSEA
690,2012,3,1024,1981,177.26,DEN,SEA,DENSEA
691,2012,4,1024,1659,167.35,DEN,SEA,DENSEA
692,2013,1,1024,1408,165.36,DEN,SEA,DENSEA
693,2011,3,1092,605,274.46,DTW,IAH,DTWIAH
694,2011,4,1092,565,294.43,DTW,IAH,DTWIAH
695,2012,1,1092,470,313.29,DTW,IAH,DTWIAH
696,2012,2,1092,591,296.11,DTW,IAH,DTWIAH
697,2012,3,1092,573,305.53,DTW,IAH,DTWIAH
698,2012,4,1092,582,307.09,DTW,IAH,DTWIAH
699,2013,1,1092,502,318.25,DTW,IAH,DTWIAH
700,2011,3,1749,1929,184.92,DTW,LAS,DTWLAS
701,2011,4,1749,1817,190.29,DTW,LAS,DTWLAS
702,2012,1,1749,1745,191.52,DTW,LAS,DTWLAS
703,2012,2,1749,1886,212.66,DTW,LAS,DTWLAS
704,2012,3,1749,1821,192.45,DTW,LAS,DTWLAS
705,2012,4,1749,1849,188.04,DTW,LAS,DTWLAS
706,2013,1,1749,1808,191.81,DTW,LAS,DTWLAS
707,2011,3,1979,1976,246.19,DTW,LAX,DTWLAX
708,2011,4,1979,1635,275.24,DTW,LAX,DTWLAX
709,2012,1,1979,1268,290.31,DTW,LAX,DTWLAX
710,2012,2,1979,1657,281.04,DTW,LAX,DTWLAX
711,2012,3,1979,1819,261.58,DTW,LAX,DTWLAX
712,2012,4,1979,1701,281.98,DTW,LAX,DTWLAX
713,2013,1,1979,1443,287.85,DTW,LAX,DTWLAX
714,2011,3,1145,1441,128.16,DTW,MIA,DTWMIA
715,2011,4,1145,1926,157.6,DTW,MIA,DTWMIA
716,2012,1,1145,2400,178.29,DTW,MIA,DTWMIA
717,2012,2,1145,1793,166.64,DTW,MIA,DTWMIA
718,2012,3,1145,1266,142.63,DTW,MIA,DTWMIA
719,2012,4,1145,1908,170.29,DTW,MIA,DTWMIA
720,2013,1,1145,2420,192.24,DTW,MIA,DTWMIA
721,2011,3,528,547,309.85,DTW,MSP,DTWMSP
722,2011,4,528,562,278.17,DTW,MSP,DTWMSP
723,2012,1,528,467,296.09,DTW,MSP,DTWMSP
724,2012,2,528,557,302.21,DTW,MSP,DTWMSP
725,2012,3,528,527,309.24,DTW,MSP,DTWMSP
726,2012,4,528,476,316.16,DTW,MSP,DTWMSP
727,2013,1,528,397,334.11,DTW,MSP,DTWMSP
728,2011,3,540,2764,200.93,DTW,JFK,DTWJFK
729,2011,3,540,2764,200.93,DTW,LGA,DTWLGA
730,2011,3,540,2764,200.93,DTW,EWR,DTWEWR
731,2011,4,540,2738,205.36,DTW,JFK,DTWJFK
732,2011,4,540,2738,205.36,DTW,LGA,DTWLGA
733,2011,4,540,2738,205.36,DTW,EWR,DTWEWR
734,2012,1,540,2038,223.05,DTW,JFK,DTWJFK
735,2012,1,540,2038,223.05,DTW,LGA,DTWLGA
736,2012,1,540,2038,223.05,DTW,EWR,DTWEWR
737,2012,2,540,2653,225.09,DTW,JFK,DTWJFK
738,2012,2,540,2653,225.09,DTW,LGA,DTWLGA
739,2012,2,540,2653,225.09,DTW,EWR,DTWEWR
740,2012,3,540,2706,212.4,DTW,JFK,DTWJFK
741,2012,3,540,2706,212.4,DTW,LGA,DTWLGA
742,2012,3,540,2706,212.4,DTW,EWR,DTWEWR
743,2012,4,540,2669,224.18,DTW,JFK,DTWJFK
744,2012,4,540,2669,224.18,DTW,LGA,DTWLGA
745,2012,4,540,2669,224.18,DTW,EWR,DTWEWR
746,2013,1,540,2027,237.4,DTW,JFK,DTWJFK
747,2013,1,540,2027,237.4,DTW,LGA,DTWLGA
748,2013,1,540,2027,237.4,DTW,EWR,DTWEWR
749,2011,3,957,1991,117.87,DTW,MCO,DTWMCO
750,2011,4,957,2160,139.18,DTW,MCO,DTWMCO
751,2012,1,957,2505,164.08,DTW,MCO,DTWMCO
752,2012,2,957,2207,156.41,DTW,MCO,DTWMCO
753,2012,3,957,1690,132.87,DTW,MCO,DTWMCO
754,2012,4,957,1924,154.56,DTW,MCO,DTWMCO
755,2013,1,957,2326,179.94,DTW,MCO,DTWMCO
756,2011,3,453,546,281.99,DTW,PHL,DTWPHL
757,2011,4,453,559,276.17,DTW,PHL,DTWPHL
758,2012,1,453,445,320.73,DTW,PHL,DTWPHL
759,2012,2,453,522,312.1,DTW,PHL,DTWPHL
760,2012,3,453,495,295.64,DTW,PHL,DTWPHL
761,2012,4,453,533,299.83,DTW,PHL,DTWPHL
762,2013,1,453,422,308.51,DTW,PHL,DTWPHL
763,2011,3,1671,1021,195.5,DTW,PHX,DTWPHX
764,2011,4,1671,1182,205.24,DTW,PHX,DTWPHX
765,2012,1,1671,1127,226.93,DTW,PHX,DTWPHX
766,2012,2,1671,1052,232.62,DTW,PHX,DTWPHX
767,2012,3,1671,864,233.74,DTW,PHX,DTWPHX
768,2012,4,1671,997,251.63,DTW,PHX,DTWPHX
769,2013,1,1671,1028,252.77,DTW,PHX,DTWPHX
770,2011,3,2079,1125,290.55,DTW,SFO,DTWSFO
771,2011,4,2079,968,293.32,DTW,SFO,DTWSFO
772,2012,1,2079,726,312.75,DTW,SFO,DTWSFO
773,2012,2,2079,979,318.31,DTW,SFO,DTWSFO
774,2012,3,2079,1172,299.61,DTW,SFO,DTWSFO
775,2012,4,2079,1054,319.28,DTW,SFO,DTWSFO
776,2013,1,2079,722,322.38,DTW,SFO,DTWSFO
777,2011,3,1927,677,303.42,DTW,SEA,DTWSEA
778,2011,4,1927,458,297.23,DTW,SEA,DTWSEA
779,2012,1,1927,323,316.89,DTW,SEA,DTWSEA
780,2012,2,1927,501,321.12,DTW,SEA,DTWSEA
781,2012,3,1927,648,306.14,DTW,SEA,DTWSEA
782,2012,4,1927,505,317.48,DTW,SEA,DTWSEA
783,2013,1,1927,319,326.63,DTW,SEA,DTWSEA
784,2011,3,1235,1750,204.11,IAH,LAS,IAHLAS
785,2011,4,1235,1696,213.36,IAH,LAS,IAHLAS
786,2012,1,1235,1407,228.99,IAH,LAS,IAHLAS
787,2012,2,1235,1488,248.23,IAH,LAS,IAHLAS
788,2012,3,1235,1380,253.21,IAH,LAS,IAHLAS
789,2012,4,1235,1601,241.13,IAH,LAS,IAHLAS
790,2013,1,1235,1585,227.87,IAH,LAS,IAHLAS
791,2011,3,1390,2621,254.28,IAH,LAX,IAHLAX
792,2011,4,1390,2695,272.36,IAH,LAX,IAHLAX
793,2012,1,1390,2166,262.85,IAH,LAX,IAHLAX
794,2012,2,1390,2525,284.42,IAH,LAX,IAHLAX
795,2012,3,1390,2514,285.48,IAH,LAX,IAHLAX
796,2012,4,1390,2571,293.8,IAH,LAX,IAHLAX
797,2013,1,1390,2370,292.81,IAH,LAX,IAHLAX
798,2011,3,965,959,235.73,IAH,MIA,IAHMIA
799,2011,4,965,1098,231.95,IAH,MIA,IAHMIA
800,2012,1,965,990,252.62,IAH,MIA,IAHMIA
801,2012,2,965,1186,240.89,IAH,MIA,IAHMIA
802,2012,3,965,998,239.64,IAH,MIA,IAHMIA
803,2012,4,965,1134,246.53,IAH,MIA,IAHMIA
804,2013,1,965,1065,264.15,IAH,MIA,IAHMIA
805,2011,3,1057,582,267.66,IAH,MSP,IAHMSP
806,2011,4,1057,471,297.66,IAH,MSP,IAHMSP
807,2012,1,1057,425,326.55,IAH,MSP,IAHMSP
808,2012,2,1057,487,354.53,IAH,MSP,IAHMSP
809,2012,3,1057,474,338.86,IAH,MSP,IAHMSP
810,2012,4,1057,486,332.07,IAH,MSP,IAHMSP
811,2013,1,1057,441,361.32,IAH,MSP,IAHMSP
812,2011,3,1465,3052,296.38,IAH,JFK,IAHJFK
813,2011,3,1465,3052,296.38,IAH,LGA,IAHLGA
814,2011,3,1465,3052,296.38,IAH,EWR,IAHEWR
815,2011,4,1465,3123,295.78,IAH,JFK,IAHJFK
816,2011,4,1465,3123,295.78,IAH,LGA,IAHLGA
817,2011,4,1465,3123,295.78,IAH,EWR,IAHEWR
818,2012,1,1465,2484,303.49,IAH,JFK,IAHJFK
819,2012,1,1465,2484,303.49,IAH,LGA,IAHLGA
820,2012,1,1465,2484,303.49,IAH,EWR,IAHEWR
821,2012,2,1465,3327,295.87,IAH,JFK,IAHJFK
822,2012,2,1465,3327,295.87,IAH,LGA,IAHLGA
823,2012,2,1465,3327,295.87,IAH,EWR,IAHEWR
824,2012,3,1465,3097,292.34,IAH,JFK,IAHJFK
825,2012,3,1465,3097,292.34,IAH,LGA,IAHLGA
826,2012,3,1465,3097,292.34,IAH,EWR,IAHEWR
827,2012,4,1465,3352,318.96,IAH,JFK,IAHJFK
828,2012,4,1465,3352,318.96,IAH,LGA,IAHLGA
829,2012,4,1465,3352,318.96,IAH,EWR,IAHEWR
830,2013,1,1465,2829,321.66,IAH,JFK,IAHJFK
831,2013,1,1465,2829,321.66,IAH,LGA,IAHLGA
832,2013,1,1465,2829,321.66,IAH,EWR,IAHEWR
833,2011,3,854,955,229.3,IAH,MCO,IAHMCO
834,2011,4,854,1089,220.01,IAH,MCO,IAHMCO
835,2012,1,854,965,234.42,IAH,MCO,IAHMCO
836,2012,2,854,1146,225.59,IAH,MCO,IAHMCO
837,2012,3,854,1009,220.06,IAH,MCO,IAHMCO
838,2012,4,854,1097,232.62,IAH,MCO,IAHMCO
839,2013,1,854,1127,237.16,IAH,MCO,IAHMCO
840,2011,3,1336,925,246.64,IAH,PHL,IAHPHL
841,2011,4,1336,983,233.7,IAH,PHL,IAHPHL
842,2012,1,1336,744,246.75,IAH,PHL,IAHPHL
843,2012,2,1336,1013,248.78,IAH,PHL,IAHPHL
844,2012,3,1336,1047,231.76,IAH,PHL,IAHPHL
845,2012,4,1336,1153,215.14,IAH,PHL,IAHPHL
846,2013,1,1336,924,240.48,IAH,PHL,IAHPHL
847,2011,3,1020,751,216.77,IAH,PHX,IAHPHX
848,2011,4,1020,909,216.22,IAH,PHX,IAHPHX
849,2012,1,1020,835,236.64,IAH,PHX,IAHPHX
850,2012,2,1020,824,256.24,IAH,PHX,IAHPHX
851,2012,3,1020,667,257.02,IAH,PHX,IAHPHX
852,2012,4,1020,882,260.23,IAH,PHX,IAHPHX
853,2013,1,1020,876,263.54,IAH,PHX,IAHPHX
854,2011,3,1649,1639,297.12,IAH,SFO,IAHSFO
855,2011,4,1649,1558,287.92,IAH,SFO,IAHSFO
856,2012,1,1649,1201,319.23,IAH,SFO,IAHSFO
857,2012,2,1649,1579,312.06,IAH,SFO,IAHSFO
858,2012,3,1649,1710,308.61,IAH,SFO,IAHSFO
859,2012,4,1649,1723,309.54,IAH,SFO,IAHSFO
860,2013,1,1649,1482,327.75,IAH,SFO,IAHSFO
861,2011,3,1894,1021,232.21,IAH,SEA,IAHSEA
862,2011,4,1894,783,221.32,IAH,SEA,IAHSEA
863,2012,1,1894,622,232.64,IAH,SEA,IAHSEA
864,2012,2,1894,917,262.94,IAH,SEA,IAHSEA
865,2012,3,1894,933,280.18,IAH,SEA,IAHSEA
866,2012,4,1894,700,282.03,IAH,SEA,IAHSEA
867,2013,1,1894,620,277.96,IAH,SEA,IAHSEA
868,2011,3,236,6474,115.0,LAS,LAX,LASLAX
869,2011,4,236,5733,119.58,LAS,LAX,LASLAX
870,2012,1,236,5644,123.99,LAS,LAX,LASLAX
871,2012,2,236,5931,123.33,LAS,LAX,LASLAX
872,2012,3,236,6168,116.65,LAS,LAX,LASLAX
873,2012,4,236,5682,116.15,LAS,LAX,LASLAX
874,2013,1,236,5903,124.71,LAS,LAX,LASLAX
875,2011,3,2174,1235,241.89,LAS,MIA,LASMIA
876,2011,4,2174,1070,275.71,LAS,MIA,LASMIA
877,2012,1,2174,1151,273.57,LAS,MIA,LASMIA
878,2012,2,2174,1207,258.07,LAS,MIA,LASMIA
879,2012,3,2174,1159,243.45,LAS,MIA,LASMIA
880,2012,4,2174,1174,248.43,LAS,MIA,LASMIA
881,2013,1,2174,1312,256.39,LAS,MIA,LASMIA
882,2011,3,1299,1149,195.85,LAS,MSP,LASMSP
883,2011,4,1299,1325,202.2,LAS,MSP,LASMSP
884,2012,1,1299,1675,207.48,LAS,MSP,LASMSP
885,2012,2,1299,1495,196.63,LAS,MSP,LASMSP
886,2012,3,1299,1275,185.62,LAS,MSP,LASMSP
887,2012,4,1299,1459,190.02,LAS,MSP,LASMSP
888,2013,1,1299,1794,203.14,LAS,MSP,LASMSP
