,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
57,2013,2,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1729,182.22,ATL,DEN
58,2013,3,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1633,197.01,ATL,DEN
59,2013,4,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1718,179.46,ATL,DEN
60,2011,1,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,976,188.72,ATL,DTW
61,2011,2,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1287,192.49,ATL,DTW
62,2011,3,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1252,184.39,ATL,DTW
63,2011,4,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1123,204.87,ATL,DTW
64,2012,1,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,913,229.27,ATL,DTW
65,2012,2,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1277,200.35,ATL,DTW
66,2012,3,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1225,186.37,ATL,DTW
67,2012,4,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1197,196.94,ATL,DTW
68,2013,1,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,943,211.14,ATL,DTW
69,2013,2,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1328,219.69,ATL,DTW
70,2013,3,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1136,244.6,ATL,DTW
71,2013,4,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1269,211.68,ATL,DTW
72,2011,1,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1252,207.95,ATL,IAH
73,2011,2,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1503,214.6,ATL,IAH
74,2011,3,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1373,203.41,ATL,IAH
75,2011,4,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1417,211.15,ATL,IAH
76,2012,1,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1454,204.08,ATL,IAH
77,2012,2,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1743,192.26,ATL,IAH
78,2012,3,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1612,176.59,ATL,IAH
79,2012,4,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1716,174.66,ATL,IAH
80,2013,1,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1588,185.98,ATL,IAH
81,2013,2,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1726,207.42,ATL,IAH
