,Date,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)
210,2012-07-03,"2,827"
211,2012-07-05,"2,825"
212,2012-07-06,"2,789"
213,2012-07-09,"2,823"
214,2012-07-10,"2,828"
215,2012-07-11,"2,863"
216,2012-07-12,"2,851"
217,2012-07-13,"2,894"
218,2012-07-16,"2,934"
219,2012-07-17,"2,91"
220,2012-07-18,"2,936"
221,2012-07-19,"3,009"
222,2012-07-20,"3,006"
223,2012-07-23,"2,91"
224,2012-07-24,"2,903"
225,2012-07-25,"2,914"
226,2012-07-26,"2,941"
227,2012-07-27,"2,963"
228,2012-07-30,"2,948"
229,2012-07-31,"2,914"
230,2012-08-01,"2,94"
231,2012-08-02,"2,939"
232,2012-08-03,"3,033"
233,2012-08-06,"3,051"
234,2012-08-07,"3,104"
235,2012-08-08,"3,123"
236,2012-08-09,"3,154"
237,2012-08-10,"3,127"
238,2012-08-13,"3,134"
239,2012-08-14,"3,149"
240,2012-08-15,"3,185"
241,2012-08-16,"3,203"
242,2012-08-17,"3,163"
243,2012-08-20,"3,162"
244,2012-08-21,"3,195"
245,2012-08-22,"3,228"
246,2012-08-23,"3,209"
247,2012-08-24,"3,205"
248,2012-08-27,"3,225"
249,2012-08-28,"3,278"
250,2012-08-29,"3,249"
251,2012-08-30,"3,258"
252,2012-08-31,"3,279"
253,2012-09-04,"3,237"
254,2012-09-05,"3,21"
255,2012-09-06,"3,218"
256,2012-09-07,"3,242"
257,2012-09-10,"3,247"
258,2012-09-11,"3,257"
259,2012-09-12,"3,263"
260,2012-09-13,"3,265"
261,2012-09-14,"3,284"
262,2012-09-17,"3,183"
263,2012-09-18,"3,141"
264,2012-09-19,"3,068"
265,2012-09-20,"3,128"
266,2012-09-21,"3,165"
267,2012-09-24,"3,129"
268,2012-09-25,"3,135"
269,2012-09-26,"3,134"
270,2012-09-27,"3,168"
271,2012-09-28,"3,156"
272,2012-10-01,"3,151"
273,2012-10-02,"3,138"
274,2012-10-03,"3,077"
275,2012-10-04,"3,199"
276,2012-10-05,"3,158"
277,2012-10-08,"3,159"
278,2012-10-09,"3,208"
