,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
58,2012,1,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1414,241.58,ATL,LAS
59,2012,2,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1519,234.42,ATL,LAS
60,2012,3,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1237,237.96,ATL,LAS
61,2012,4,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1236,240.79,ATL,LAS
62,2013,1,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1363,246.87,ATL,LAS
63,2013,2,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1504,247.33,ATL,LAS
64,2011,3,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1946,2761,250.1,ATL,LAX
65,2011,4,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2667,256.13,ATL,LAX
66,2012,1,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2339,258.51,ATL,LAX
67,2012,2,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2943,262.96,ATL,LAX
68,2012,3,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2805,251.9,ATL,LAX
69,2012,4,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2664,267.67,ATL,LAX
70,2013,1,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2346,276.97,ATL,LAX
71,2013,2,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2979,277.7,ATL,LAX
72,2011,3,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3115,125.48,ATL,MIA
73,2011,4,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3335,125.31,ATL,MIA
74,2012,1,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3154,143.94,ATL,MIA
75,2012,2,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3461,130.12,ATL,MIA
76,2012,3,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3039,124.34,ATL,MIA
77,2012,4,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,2898,154.4,ATL,MIA
78,2013,1,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,2875,166.15,ATL,MIA
79,2013,2,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3240,154.15,ATL,MIA
80,2011,3,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1272,205.98,ATL,MSP
81,2011,4,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1121,223.22,ATL,MSP
82,2012,1,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,933,253.81,ATL,MSP
83,2012,2,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1148,231.47,ATL,MSP
84,2012,3,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1214,208.15,ATL,MSP
85,2012,4,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1077,216.15,ATL,MSP
86,2013,1,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,909,243.33,ATL,MSP
87,2013,2,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1200,239.52,ATL,MSP
88,2011,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6033,205.29,ATL,JFK
89,2011,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6033,205.29,ATL,LGA
90,2011,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6033,205.29,ATL,EWR
91,2011,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5891,220.43,ATL,JFK
92,2011,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5891,220.43,ATL,LGA
93,2011,4,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5891,220.43,ATL,EWR
94,2012,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5016,224.2,ATL,JFK
95,2012,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5016,224.2,ATL,LGA
96,2012,1,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5016,224.2,ATL,EWR
97,2012,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6590,204.27,ATL,JFK
98,2012,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6590,204.27,ATL,LGA
99,2012,2,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6590,204.27,ATL,EWR
100,2012,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6702,184.52,ATL,JFK
101,2012,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6702,184.52,ATL,LGA
102,2012,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,6702,184.52,ATL,EWR
