,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
91,DFW,"Dallas/Fort Worth, TX",MCO,"Orlando, FL",7272.29
92,DFW,"Dallas/Fort Worth, TX",MIA,"Miami, FL",9871.02
93,DFW,"Dallas/Fort Worth, TX",MSP,"Minneapolis, MN",3582.69
94,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",7209.3
95,DFW,"Dallas/Fort Worth, TX",PHL,"Philadelphia, PA",7109.04
96,DFW,"Dallas/Fort Worth, TX",PHX,"Phoenix, AZ",7706.62
97,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",11915.3
98,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",10652.3
99,DTW,"Detroit, MI",ATL,"Atlanta, GA",2621.73
100,DTW,"Detroit, MI",BOS,"Boston, MA",1744.69
101,DTW,"Detroit, MI",CLT,"Charlotte, NC",1654.79
102,DTW,"Detroit, MI",DEN,"Denver, CO",4113.97
103,DTW,"Detroit, MI",DFW,"Dallas/Fort Worth, TX",5172.94
104,DTW,"Detroit, MI",EWR,"Newark, NJ",2060.93
105,DTW,"Detroit, MI",IAH,"Houston, TX",4193.91
106,DTW,"Detroit, MI",JFK,"New York, NY",1312.55
107,DTW,"Detroit, MI",LAS,"Las Vegas, NV",9857.77
108,DTW,"Detroit, MI",LAX,"Los Angeles, CA",7254.9
109,DTW,"Detroit, MI",LGA,"New York, NY",3246.13
110,DTW,"Detroit, MI",MCO,"Orlando, FL",4155.21
111,DTW,"Detroit, MI",MIA,"Miami, FL",4290.69
112,DTW,"Detroit, MI",MSP,"Minneapolis, MN",2029.7
113,DTW,"Detroit, MI",ORD,"Chicago, IL",1126.24
114,DTW,"Detroit, MI",PHL,"Philadelphia, PA",1716.27
115,DTW,"Detroit, MI",PHX,"Phoenix, AZ",7624.17
116,DTW,"Detroit, MI",SEA,"Seattle, WA",7127.31
117,DTW,"Detroit, MI",SFO,"San Francisco, CA",7640.28
118,EWR,"Newark, NJ",ATL,"Atlanta, GA",4324.95
119,EWR,"Newark, NJ",BOS,"Boston, MA",1512.5
120,EWR,"Newark, NJ",CLT,"Charlotte, NC",3541.34
121,EWR,"Newark, NJ",DEN,"Denver, CO",6301.13
122,EWR,"Newark, NJ",DFW,"Dallas/Fort Worth, TX",8491.85
123,EWR,"Newark, NJ",DTW,"Detroit, MI",2350.45
124,EWR,"Newark, NJ",EWR,"Newark, NJ",99.67
125,EWR,"Newark, NJ",IAH,"Houston, TX",6541.11
